date,state,fips,cases,deaths,dtc100,population,deaths100k
2020-03-19,New York,36,4161,39,0.9372746935832732,19453561,0.20047743443989507
2020-03-20,New York,36,7113,68,0.9559960635456208,19453561,0.34955039851058634
2020-03-21,New York,36,10371,95,0.9160158133256195,19453561,0.4883424685074368
2020-03-22,New York,36,15188,142,0.9349486436660521,19453561,0.729943479242695
2020-03-23,New York,36,20899,183,0.8756399827742953,19453561,0.9407018077564309
2020-03-24,New York,36,25704,264,1.0270774976657329,19453561,1.3570780177469821
2020-03-25,New York,36,33117,381,1.1504665277651962,19453561,1.9585103210666674
2020-03-26,New York,36,39058,502,1.285268062880844,19453561,2.5805044125340344
2020-03-27,New York,36,44746,645,1.4414696285701516,19453561,3.3155883388136496
2020-03-28,New York,36,53517,935,1.7471083954631237,19453561,4.8063179795205615
2020-03-29,New York,36,59783,1180,1.9738052623655553,19453561,6.065727503566056
2020-03-30,New York,36,67504,1512,2.239867267124911,19453561,7.7723559198236245
2020-03-31,New York,36,76211,1929,2.5311306766739707,19453561,9.915922334219427
2020-04-01,New York,36,84364,2415,2.8625954198473282,19453561,12.414179594162734
2020-04-02,New York,36,93360,2963,3.1737360754070263,19453561,15.231144570395108
2020-04-03,New York,36,103689,3716,3.5837938450558884,19453561,19.10190118919616
2020-04-04,New York,36,115963,4535,3.910730146684718,19453561,23.311927312433955
2020-04-05,New York,36,124085,5335,4.299472136035782,19453561,27.424284941970267
2020-04-06,New York,36,133389,6149,4.609825397896379,19453561,31.608608830023464
2020-04-07,New York,36,141703,7185,5.070464280925598,19453561,36.93411196027298
2020-04-08,New York,36,151271,8138,5.379748927421647,19453561,41.83295798645811
2020-04-09,New York,36,162036,9166,5.656767631884272,19453561,47.11733754041227
2020-04-10,New York,36,172830,10162,5.879766244286293,19453561,52.23722278918497
2020-04-11,New York,36,182990,11159,6.098147439750806,19453561,57.362248484994595
2020-04-12,New York,36,191425,12116,6.3293718166383695,19453561,62.28165629932741
2020-04-13,New York,36,197973,12998,6.565541765796345,19453561,66.8155305858912
2020-04-14,New York,36,205375,14001,6.817285453438831,19453561,71.97139896392234
2020-04-15,New York,36,217130,14937,6.8792889052641275,19453561,76.78285739047982
2020-04-16,New York,36,225761,15669,6.940525600081503,19453561,80.54566462150554
2020-04-17,New York,36,233293,16473,7.061077700573956,19453561,84.67858403918953
2020-04-18,New York,36,240542,17141,7.125990471518487,19453561,88.11240265985235
2020-04-19,New York,36,246741,17793,7.211205271924811,19453561,91.46397412792444
2020-04-20,New York,36,251608,18412,7.3177323455534005,19453561,94.64591084377817
2020-04-21,New York,36,255932,19040,7.439476110841943,19453561,97.87411158296416
2020-04-22,New York,36,261591,19647,7.51057949241373,19453561,100.99436293437485
2020-04-23,New York,36,267932,20212,7.543705119209351,19453561,103.89871551023487
2020-04-24,New York,36,276218,20759,7.515440702633428,19453561,106.7105400394303
2020-04-25,New York,36,286901,21326,7.433226095412704,19453561,109.62517350936417
2020-04-26,New York,36,292914,21804,7.443823101661239,19453561,112.08230719301211
2020-04-27,New York,36,296991,22267,7.497533595294134,19453561,114.46233417110626
2020-04-28,New York,36,300276,22777,7.585354806910975,19453561,117.08396215993565
2020-04-29,New York,36,304994,23287,7.635232168501675,19453561,119.70559014876504
2020-04-30,New York,36,309696,23616,7.625542467451953,19453561,121.39679722391188
2020-05-01,New York,36,313575,23841,7.602965797656062,19453561,122.55339780721894
2020-05-02,New York,36,318134,24035,7.554992550308989,19453561,123.55064453238151
2020-05-03,New York,36,321833,24576,7.6362585564562995,19453561,126.33162637935543
2020-05-04,New York,36,324357,24788,7.642196715347595,19453561,127.42140115118254
2020-05-05,New York,36,326659,25028,7.661812471109015,19453561,128.65510844004345
2020-05-06,New York,36,329405,25956,7.879661814483691,19453561,133.42544329030557
2020-05-07,New York,36,332931,26206,7.8713006598964945,19453561,134.71055504953566
2020-05-08,New York,36,335804,26358,7.849221569725197,19453561,135.49190299914756
2020-05-09,New York,36,338519,26584,7.853030405974258,19453561,136.65364402949157
2020-05-10,New York,36,340657,26798,7.866563728324973,19453561,137.75369969539253
2020-05-11,New York,36,342267,27003,7.889454723943588,19453561,138.8074913379612
2020-05-12,New York,36,343705,27282,7.937620924921081,19453561,140.241676061262
2020-05-13,New York,36,345828,27448,7.936893484622414,19453561,141.0949902693908
2020-05-14,New York,36,348192,27617,7.931543516220936,19453561,141.96372581863034
2020-05-15,New York,36,350951,27755,7.908511444617624,19453561,142.67310750972533
2020-05-16,New York,36,353136,27953,7.915647229396041,19453561,143.69091602303558
2020-05-17,New York,36,355037,28168,7.933820982038492,19453561,144.79611213597346
2020-05-18,New York,36,356278,28302,7.943796698084081,19453561,145.4849320389208
